episode_name|episode_link|episode_season
Dumbbell Indemnity|https://simpsonswiki.com/wiki/Dumbbell_Indemnity|9
Lisa the Simpson|https://simpsonswiki.com/wiki/Lisa_the_Simpson|9
This Little Wiggy|https://simpsonswiki.com/wiki/This_Little_Wiggy|9
Simpson Tide|https://simpsonswiki.com/wiki/Simpson_Tide|9
The Trouble with Trillions|https://simpsonswiki.com/wiki/The_Trouble_with_Trillions|9
Girly Edition|https://simpsonswiki.com/wiki/Girly_Edition|9
Trash of the Titans|https://simpsonswiki.com/wiki/Trash_of_the_Titans|9
King of the Hill|https://simpsonswiki.com/wiki/King_of_the_Hill|9
Lost Our Lisa|https://simpsonswiki.com/wiki/Lost_Our_Lisa|9
Natural Born Kissers|https://simpsonswiki.com/wiki/Natural_Born_Kissers|9
Lard of the Dance|https://simpsonswiki.com/wiki/Lard_of_the_Dance|10
The Wizard of Evergreen Terrace|https://simpsonswiki.com/wiki/The_Wizard_of_Evergreen_Terrace|10
Bart the Mother|https://simpsonswiki.com/wiki/Bart_the_Mother|10
Treehouse of Horror IX|https://simpsonswiki.com/wiki/Treehouse_of_Horror_IX|10
When You Dish Upon a Star|https://simpsonswiki.com/wiki/When_You_Dish_Upon_a_Star|10
D'oh-in' in the Wind|https://simpsonswiki.com/wiki/D%27oh-in%27_in_the_Wind|10
"Lisa Gets an ""A"""|https://simpsonswiki.com/wiki/Lisa_Gets_an_%22A%22|10
"Homer Simpson in: ""Kidney Trouble"""|https://simpsonswiki.com/wiki/Homer_Simpson_in:_%22Kidney_Trouble%22|10
Mayored to the Mob|https://simpsonswiki.com/wiki/Mayored_to_the_Mob|10
Viva Ned Flanders|https://simpsonswiki.com/wiki/Viva_Ned_Flanders|10
Wild Barts Can't Be Broken|https://simpsonswiki.com/wiki/Wild_Barts_Can%27t_Be_Broken|10
Sunday, Cruddy Sunday|https://simpsonswiki.com/wiki/Sunday,_Cruddy_Sunday|10
Homer to the Max|https://simpsonswiki.com/wiki/Homer_to_the_Max|10
I'm with Cupid|https://simpsonswiki.com/wiki/I%27m_with_Cupid|10
"Marge Simpson in: ""Screaming Yellow Honkers"""|https://simpsonswiki.com/wiki/Marge_Simpson_in:_%22Screaming_Yellow_Honkers%22|10
Make Room for Lisa|https://simpsonswiki.com/wiki/Make_Room_for_Lisa|10
Maximum Homerdrive|https://simpsonswiki.com/wiki/Maximum_Homerdrive|10
Simpsons Bible Stories|https://simpsonswiki.com/wiki/Simpsons_Bible_Stories|10
Mom and Pop Art|https://simpsonswiki.com/wiki/Mom_and_Pop_Art|10
"The Old Man and the ""C"" Student"|https://simpsonswiki.com/wiki/The_Old_Man_and_the_%22C%22_Student|10
Monty Can't Buy Me Love|https://simpsonswiki.com/wiki/Monty_Can%27t_Buy_Me_Love|10
They Saved Lisa's Brain|https://simpsonswiki.com/wiki/They_Saved_Lisa%27s_Brain|10
Thirty Minutes Over Tokyo|https://simpsonswiki.com/wiki/Thirty_Minutes_Over_Tokyo|10
Beyond Blunderdome|https://simpsonswiki.com/wiki/Beyond_Blunderdome|11
Brother's Little Helper|https://simpsonswiki.com/wiki/Brother%27s_Little_Helper|11
Guess Who's Coming to Criticize Dinner?|https://simpsonswiki.com/wiki/Guess_Who%27s_Coming_to_Criticize_Dinner%3F|11
Treehouse of Horror X|https://simpsonswiki.com/wiki/Treehouse_of_Horror_X|11
E-I-E-I-(Annoyed Grunt)|https://simpsonswiki.com/wiki/E-I-E-I-(Annoyed_Grunt)|11
Hello Gutter, Hello Fadder|https://simpsonswiki.com/wiki/Hello_Gutter,_Hello_Fadder|11
Eight Misbehavin'|https://simpsonswiki.com/wiki/Eight_Misbehavin%27|11
Take My Wife, Sleaze|https://simpsonswiki.com/wiki/Take_My_Wife,_Sleaze|11
